;Country;Happiness Rank;Happiness;Economy;Family;Health;Freedom;Trust;Generosity;Year;Region
268;Sierra Leone;111;4.635;0.36485;0.628;0;0.30685;0.08196;0.23897;2016;Sub-Saharan Africa
269;Iraq;112;4.575;1.07474;0.59205;0.51076;0.24856;0.13636;0.19589;2016;Middle East and North Africa
270;Namibia;113;4.574;0.93287;0.70362;0.34745;0.48614;0.10398;0.07795;2016;Sub-Saharan Africa
271;Cameroon;114;4.513;0.52497;0.62542;0.12698;0.42736;0.06126;0.2268;2016;Sub-Saharan Africa
272;Ethiopia;115;4.508;0.29283;0.37932;0.34578;0.36703;0.1717;0.29522;2016;Sub-Saharan Africa
273;South Africa;116;4.459;1.02416;0.96053;0.18611;0.42483;0.08415;0.13656;2016;Sub-Saharan Africa
274;Sri Lanka;117;4.415;0.97318;0.84783;0.62007;0.50817;0.07964;0.46978;2016;South Asia
275;India;118;4.404;0.74036;0.29247;0.45091;0.40285;0.08722;0.25028;2016;South Asia
276;Myanmar;119;4.395;0.34112;0.69981;0.3988;0.42692;0.20243;0.81971;2016;Southeast Asia
277;Egypt;120;4.362;0.95395;0.49813;0.52116;0.18847;0.10393;0.12706;2016;Middle East and North Africa
278;Armenia;121;4.36;0.86086;0.62477;0.64083;0.14037;0.03616;0.07793;2016;Commonwealth of Independent States
279;Kenya;122;4.356;0.52267;0.7624;0.30147;0.40576;0.06686;0.41328;2016;Sub-Saharan Africa
280;Ukraine;123;4.324;0.87287;1.01413;0.58628;0.12859;0.01829;0.20363;2016;Commonwealth of Independent States
281;Ghana;124;4.276;0.63107;0.49353;0.29681;0.40973;0.0326;0.21203;2016;Sub-Saharan Africa
282;Congo (Kinshasa);125;4.272;0.05661;0.80676;0.188;0.15602;0.06075;0.25458;2016;Sub-Saharan Africa
283;Georgia;126;4.252;0.83792;0.19249;0.64035;0.32461;0.3188;0.06786;2016;Commonwealth of Independent States
284;Congo (Brazzaville);127;4.236;0.77109;0.47799;0.28212;0.37938;0.09753;0.12077;2016;Sub-Saharan Africa
285;Senegal;128;4.219;0.44314;0.77416;0.40457;0.31056;0.11681;0.19103;2016;Sub-Saharan Africa
286;Bulgaria;129;4.217;1.11306;0.92542;0.67806;0.21219;0.00615;0.12793;2016;Central and Eastern Europe
287;Mauritania;130;4.201;0.61391;0.84142;0.28639;0.1268;0.17955;0.22686;2016;Sub-Saharan Africa
288;Zimbabwe;131;4.193;0.35041;0.71478;0.1595;0.25429;0.08582;0.18503;2016;Sub-Saharan Africa
289;Malawi;132;4.156;0.08709;0.147;0.29364;0.4143;0.07564;0.30968;2016;Sub-Saharan Africa
291;Gabon;134;4.121;1.15851;0.72368;0.3494;0.28098;0.09314;0.06244;2016;Sub-Saharan Africa
292;Mali;135;4.073;0.31292;0.86333;0.16347;0.27544;0.13647;0.21064;2016;Sub-Saharan Africa
293;Haiti;136;4.028;0.34097;0.29561;0.27494;0.12072;0.14476;0.47958;2016;Latin America and Caribbean
294;Botswana;137;3.974;1.09426;0.89186;0.34752;0.44089;0.10769;0.12425;2016;Sub-Saharan Africa
295;Comoros;138;3.956;0.27509;0.60323;0.29981;0.15412;0.18437;0.1827;2016;Sub-Saharan Africa
296;Ivory Coast;139;3.916;0.55507;0.57576;0.04476;0.40663;0.1553;0.20338;2016;Sub-Saharan Africa
297;Cambodia;140;3.907;0.55604;0.5375;0.42494;0.58852;0.08092;0.40339;2016;Southeast Asia
299;Niger;142;3.856;0.1327;0.6053;0.26162;0.38041;0.17176;0.2097;2016;Sub-Saharan Africa
300;South Sudan;143;3.832;0.39394;0.18519;0.15781;0.19662;0.13015;0.25899;2016;Sub-Saharan Africa
301;Chad;144;3.763;0.42214;0.63178;0.03824;0.12807;0.04952;0.18667;2016;Sub-Saharan Africa
302;Burkina Faso;145;3.739;0.31995;0.63054;0.21297;0.3337;0.12533;0.24353;2016;Sub-Saharan Africa
303;Uganda;145;3.739;0.34719;0.90981;0.19625;0.43653;0.06442;0.27102;2016;Sub-Saharan Africa
304;Yemen;147;3.724;0.57939;0.47493;0.31048;0.2287;0.05892;0.09821;2016;Middle East and North Africa
305;Madagascar;148;3.695;0.27954;0.46115;0.37109;0.13684;0.07506;0.2204;2016;Sub-Saharan Africa
306;Tanzania;149;3.666;0.47155;0.77623;0.357;0.3176;0.05099;0.31472;2016;Sub-Saharan Africa
307;Liberia;150;3.622;0.10706;0.50353;0.23165;0.25748;0.04852;0.24063;2016;Sub-Saharan Africa
308;Guinea;151;3.607;0.22415;0.3109;0.18829;0.30953;0.1192;0.29914;2016;Sub-Saharan Africa
309;Rwanda;152;3.515;0.32846;0.61586;0.31865;0.5432;0.50521;0.23552;2016;Sub-Saharan Africa
310;Benin;153;3.484;0.39499;0.10419;0.21028;0.39747;0.06681;0.2018;2016;Sub-Saharan Africa
311;Afghanistan;154;3.36;0.38227;0.11037;0.17344;0.1643;0.07112;0.31268;2016;South Asia
312;Togo;155;3.303;0.28123;0;0.24811;0.34678;0.11587;0.17517;2016;Sub-Saharan Africa
314;Burundi;157;2.905;0.06831;0.23442;0.15747;0.0432;0.09419;0.2029;2016;Sub-Saharan Africa
315;Norway;1;7.537000179;1.616463184;1.53352356;0.796666503;0.635422587;0.315963835;0.362012237;2017;Western Europe
316;Denmark;2;7.521999836;1.482383013;1.551121593;0.792565525;0.626006722;0.400770068;0.355280489;2017;Western Europe
317;Iceland;3;7.504000187;1.48063302;1.610574007;0.833552122;0.627162635;0.153526559;0.475540221;2017;Western Europe
318;Switzerland;4;7.493999958;1.564979553;1.516911745;0.858131289;0.620070577;0.367007285;0.290549278;2017;Western Europe
319;Finland;5;7.468999863;1.443571925;1.540246725;0.80915767;0.617950857;0.382611543;0.245482773;2017;Western Europe
320;Netherlands;6;7.376999855;1.503944635;1.428939223;0.810696125;0.585384488;0.282661825;0.47048983;2017;Western Europe
321;Canada;7;7.315999985;1.479204416;1.481348991;0.834557652;0.611100912;0.287371516;0.435539722;2017;North America and ANZ
322;New Zealand;8;7.31400013;1.405706048;1.548195124;0.816759706;0.61406213;0.382816702;0.500005126;2017;North America and ANZ
323;Sweden;9;7.28399992;1.494387269;1.478162169;0.830875158;0.612924099;0.384398729;0.385399252;2017;Western Europe
324;Australia;10;7.28399992;1.484414935;1.510041952;0.843886793;0.601607382;0.30118373;0.47769925;2017;North America and ANZ
325;Israel;11;7.212999821;1.375382423;1.376289964;0.838404;0.405988604;0.0852421;0.330082655;2017;Middle East and North Africa
326;Costa Rica;12;7.078999996;1.109706283;1.416403651;0.759509265;0.58013165;0.100106589;0.214613229;2017;Latin America and Caribbean
327;Austria;13;7.006000042;1.487097263;1.459944963;0.815328419;0.56776619;0.221060365;0.316472322;2017;Western Europe
328;United States;14;6.993000031;1.546259284;1.419920564;0.774286628;0.505740523;0.135638788;0.392578781;2017;North America and ANZ
329;Ireland;15;6.977000237;1.535706639;1.558231115;0.809782624;0.573110342;0.298388153;0.427858323;2017;Western Europe
330;Germany;16;6.951000214;1.487923384;1.472520351;0.798950732;0.562511384;0.276731938;0.33626917;2017;Western Europe
331;Belgium;17;6.890999794;1.463780761;1.462312698;0.818091869;0.539770722;0.251343131;0.231503338;2017;Western Europe
332;Luxembourg;18;6.862999916;1.741943598;1.457583666;0.845089495;0.596627891;0.318834424;0.283180982;2017;Western Europe
333;United Kingdom;19;6.714000225;1.44163394;1.49646008;0.805335939;0.508190036;0.265428066;0.492774159;2017;Western Europe
334;Chile;20;6.65199995;1.25278461;1.284024954;0.819479704;0.376895279;0.082287982;0.326662421;2017;Latin America and Caribbean
335;United Arab Emirates;21;6.647999763;1.626343369;1.266410232;0.726798236;0.60834527;0.324489564;0.360941947;2017;Middle East and North Africa
336;Brazil;22;6.635000229;1.10735321;1.431306005;0.616552353;0.437453747;0.111092761;0.162349895;2017;Latin America and Caribbean
337;Czech Republic;23;6.609000206;1.352682352;1.433885217;0.754444003;0.490946174;0.036872927;0.088106759;2017;Central and Eastern Europe
338;Argentina;24;6.598999977;1.185295463;1.440451145;0.695137084;0.494519204;0.059739888;0.109457061;2017;Latin America and Caribbean
339;Mexico;25;6.578000069;1.153183818;1.21086216;0.709978998;0.412730008;0.132774115;0.120990433;2017;Latin America and Caribbean
340;Singapore;26;6.572000027;1.69227767;1.353814363;0.949492395;0.549840569;0.464307785;0.345965981;2017;Southeast Asia
341;Malta;27;6.52699995;1.343279839;1.488411665;0.821944237;0.588767052;0.153066069;0.574730575;2017;Western Europe
342;Uruguay;28;6.453999996;1.217559695;1.412227869;0.719216824;0.579392254;0.178061873;0.175096929;2017;Latin America and Caribbean
343;Guatemala;29;6.453999996;0.872001946;1.255585194;0.54023999;0.531310618;0.077223279;0.283488393;2017;Latin America and Caribbean
344;Panama;30;6.452000141;1.233748436;1.373192549;0.706156135;0.550026834;0.070983924;0.210556939;2017;Latin America and Caribbean
345;France;31;6.441999912;1.430923462;1.387776852;0.844465852;0.470222116;0.172502428;0.129762307;2017;Western Europe
346;Thailand;32;6.423999786;1.127868772;1.425792456;0.647239029;0.580200732;0.031612735;0.57212311;2017;Southeast Asia
347;Taiwan Province of China;33;6.421999931;1.433626533;1.384565353;0.793984234;0.361466587;0.063829236;0.258360475;2017;East Asia
348;Spain;34;6.402999878;1.384397864;1.532090902;0.8889606;0.40878123;0.070914097;0.190133572;2017;Western Europe
350;Colombia;36;6.356999874;1.070622325;1.402182937;0.595027924;0.477487415;0.046668742;0.149014473;2017;Latin America and Caribbean
351;Saudi Arabia;37;6.343999863;1.530623555;1.286677599;0.59014833;0.449750572;0.273432255;0.147616014;2017;Middle East and North Africa
352;Trinidad and Tobago;38;6.168000221;1.361355901;1.380228519;0.519983292;0.518630743;0.008964816;0.325296462;2017;Latin America and Caribbean
353;Kuwait;39;6.105000019;1.632952452;1.259698749;0.632105708;0.496337593;0.21515955;0.228289798;2017;Middle East and North Africa
354;Slovakia;40;6.09800005;1.325393558;1.505059242;0.712732911;0.295817465;0.024210852;0.136544481;2017;Central and Eastern Europe
355;Bahrain;41;6.086999893;1.488412261;1.323110461;0.653133035;0.536746919;0.25704217;0.172668487;2017;Middle East and North Africa
356;Malaysia;42;6.084000111;1.29121542;1.284646034;0.618784428;0.402264982;0.065600708;0.41660893;2017;Southeast Asia
357;Nicaragua;43;6.071000099;0.737299204;1.28721571;0.653095961;0.447551847;0.130687982;0.301674217;2017;Latin America and Caribbean
358;Ecuador;44;6.007999897;1.000820398;1.286168814;0.685636222;0.455198199;0.140134647;0.150112465;2017;Latin America and Caribbean
359;El Salvador;45;6.002999783;0.909784496;1.182125092;0.596018553;0.43245253;0.08998096;0.078257985;2017;Latin America and Caribbean
360;Poland;46;5.97300005;1.291787863;1.44571197;0.699475348;0.520342112;0.059307806;0.158465967;2017;Central and Eastern Europe
361;Uzbekistan;47;5.971000195;0.786441088;1.54896915;0.498272628;0.658248663;0.246528223;0.415983647;2017;Commonwealth of Independent States
362;Italy;48;5.964000225;1.395066619;1.444923282;0.853144348;0.256450713;0.028028091;0.172789648;2017;Western Europe
363;Russia;49;5.962999821;1.281778097;1.469282389;0.547349334;0.373783112;0.032962881;0.052263822;2017;Commonwealth of Independent States
365;Japan;51;5.920000076;1.416915178;1.436337829;0.913475871;0.505625546;0.163760737;0.120572768;2017;East Asia
366;Lithuania;52;5.90199995;1.314582348;1.473516107;0.62894994;0.234231785;0.011865643;0.010164657;2017;Central and Eastern Europe
367;Algeria;53;5.872000217;1.091864467;1.146217465;0.617584646;0.233335808;0.14609611;0.069436647;2017;Middle East and North Africa
368;Latvia;54;5.849999905;1.260748625;1.404714942;0.638566971;0.325707912;0.073842727;0.153074786;2017;Central and Eastern Europe
369;South Korea;55;5.837999821;1.401678443;1.128274441;0.900214076;0.257921666;0.063282669;0.206674367;2017;East Asia
370;Moldova;56;5.837999821;0.72887063;1.251825571;0.589465201;0.240729049;0.010091286;0.208779126;2017;Commonwealth of Independent States
371;Romania;57;5.824999809;1.217683911;1.15009129;0.685158312;0.457003742;0.004387901;0.133519918;2017;Central and Eastern Europe
372;Bolivia;58;5.822999954;0.833756566;1.227619052;0.47363025;0.558732927;0.060477726;0.225560725;2017;Latin America and Caribbean
373;Turkmenistan;59;5.822000027;1.130776763;1.493149161;0.43772608;0.418271929;0.25927034;0.249924988;2017;Commonwealth of Independent States
374;Kazakhstan;60;5.818999767;1.28455627;1.384369016;0.606041551;0.437454283;0.119282886;0.201964423;2017;Commonwealth of Independent States
375;North Cyprus;61;5.809999943;1.346911311;1.186303377;0.834647238;0.471203625;0.155353352;0.266845703;2017;Western Europe
376;Slovenia;62;5.757999897;1.341205955;1.452518821;0.790828228;0.572575808;0.045128979;0.242649093;2017;Central and Eastern Europe
377;Peru;63;5.715000153;1.035225272;1.218770385;0.630166113;0.450002879;0.047049087;0.126819715;2017;Latin America and Caribbean
378;Mauritius;64;5.629000187;1.189395547;1.20956099;0.638007462;0.491247326;0.042181555;0.360933751;2017;Sub-Saharan Africa
379;Cyprus;65;5.620999813;1.355938077;1.131363273;0.844714701;0.355111539;0.041237976;0.271254301;2017;Western Europe
380;Estonia;66;5.611000061;1.32087934;1.4766711;0.695168316;0.47913143;0.183248922;0.098890811;2017;Central and Eastern Europe
381;Belarus;67;5.568999767;1.15655756;1.444945216;0.637714267;0.295400262;0.156313822;0.155137509;2017;Commonwealth of Independent States
382;Libya;68;5.525000095;1.101803064;1.35756433;0.52016902;0.46573323;0.09261021;0.152073666;2017;Middle East and North Africa
383;Turkey;69;5.5;1.198274374;1.337753177;0.637605608;0.3007406;0.09967158;0.046693042;2017;Middle East and North Africa
384;Paraguay;70;5.493000031;0.932537317;1.50728488;0.579250693;0.473507792;0.091065913;0.224150658;2017;Latin America and Caribbean
386;Philippines;72;5.429999828;0.857699215;1.253917575;0.468009055;0.585214674;0.099331893;0.193513423;2017;Southeast Asia
387;Serbia;73;5.394999981;1.069317579;1.258189797;0.650784671;0.208715528;0.040903781;0.220125884;2017;Central and Eastern Europe
388;Jordan;74;5.335999966;0.991012394;1.239088893;0.604590058;0.418421149;0.119803272;0.17217046;2017;Middle East and North Africa
389;Hungary;75;5.323999882;1.286011934;1.343133092;0.687763453;0.175863519;0.036636937;0.078401662;2017;Central and Eastern Europe
390;Jamaica;76;5.31099987;0.925579309;1.368218064;0.641022384;0.474307239;0.055267781;0.233818337;2017;Latin America and Caribbean
391;Croatia;77;5.293000221;1.222556233;0.967983007;0.701288521;0.255772293;0.04310311;0.248002976;2017;Central and Eastern Europe
392;Kosovo;78;5.278999805;0.951484382;1.137853503;0.54145205;0.260287941;0.057471618;0.319931448;2017;Central and Eastern Europe
393;China;79;5.272999763;1.081165791;1.160837412;0.741415501;0.472787708;0.022794275;0.028806841;2017;East Asia
394;Pakistan;80;5.269000053;0.726883531;0.67269069;0.402047783;0.235215262;0.124348067;0.315446019;2017;South Asia
395;Indonesia;81;5.262000084;0.995538592;1.274444699;0.492345721;0.443323463;0.015317135;0.611704588;2017;Southeast Asia
396;Venezuela;82;5.25;1.128431201;1.431337595;0.617144227;0.153997123;0.064491123;0.06501963;2017;Latin America and Caribbean
397;Montenegro;83;5.236999989;1.121129036;1.238376498;0.667464674;0.194989055;0.088174194;0.197911024;2017;Central and Eastern Europe
398;Morocco;84;5.235000134;0.878114581;0.774864435;0.597710669;0.408158332;0.087763183;0.032209955;2017;Middle East and North Africa
399;Azerbaijan;85;5.234000206;1.153601766;1.152400255;0.540775776;0.398155838;0.180987507;0.04526934;2017;Commonwealth of Independent States
400;Dominican Republic;86;5.230000019;1.079373837;1.402416706;0.574873745;0.552589834;0.113945253;0.18696785;2017;Latin America and Caribbean
401;Greece;87;5.227000237;1.289487481;1.239414573;0.810198903;0.095731251;0.043289777;0;2017;Western Europe
402;Lebanon;88;5.224999905;1.074987531;1.129624248;0.735081077;0.288515985;0.03751383;0.264450759;2017;Middle East and North Africa
403;Portugal;89;5.195000172;1.315175295;1.367043018;0.795843542;0.4984653;0.015869452;0.095102713;2017;Western Europe
404;Bosnia and Herzegovina;90;5.18200016;0.982409418;1.069335938;0.705186307;0.204403177;0;0.328867495;2017;Central and Eastern Europe
405;Honduras;91;5.181000233;0.730573118;1.143944979;0.58256948;0.34807986;0.073345453;0.236188874;2017;Latin America and Caribbean
406;Macedonia;92;5.175000191;1.064577937;1.207893014;0.644948184;0.325905979;0.060277794;0.253760964;2017;Central and Eastern Europe
408;Vietnam;94;5.073999882;0.788547575;1.277491331;0.652168989;0.571055591;0.087633237;0.234968051;2017;Southeast Asia
409;Nigeria;95;5.073999882;0.783756256;1.215770483;0.05691573;0.394952565;0.026121566;0.230947196;2017;Sub-Saharan Africa
410;Tajikistan;96;5.040999889;0.524713635;1.271463275;0.529235125;0.471566707;0.146377146;0.248997644;2017;Commonwealth of Independent States
412;Kyrgyzstan;98;5.004000187;0.596220076;1.394238591;0.553457797;0.454943389;0.039439179;0.428580374;2017;Commonwealth of Independent States
413;Nepal;99;4.961999893;0.479820192;1.179283261;0.504130781;0.440305948;0.072975546;0.394096166;2017;South Asia
414;Mongolia;100;4.954999924;1.027235866;1.493011236;0.557783484;0.394143969;0.032902289;0.33846423;2017;East Asia
415;South Africa;101;4.828999996;1.054698706;1.384788632;0.18708007;0.479246736;0.072509497;0.13936238;2017;Sub-Saharan Africa
416;Tunisia;102;4.804999828;1.007265806;0.86835146;0.613212049;0.28968069;0.086723149;0.049693357;2017;Middle East and North Africa
417;Palestinian Territories;103;4.775000095;0.716249228;1.155647159;0.565666974;0.254711062;0.089282602;0.114173174;2017;Middle East and North Africa
418;Egypt;104;4.735000134;0.989701807;0.997471392;0.520187259;0.282110155;0.114381365;0.128631443;2017;Middle East and North Africa
419;Bulgaria;105;4.714000225;1.161459088;1.434379458;0.70821768;0.289231718;0.011051531;0.113177694;2017;Central and Eastern Europe
420;Sierra Leone;106;4.709000111;0.368420929;0.984136045;0.005564754;0.318697691;0.071095176;0.293040901;2017;Sub-Saharan Africa
421;Cameroon;107;4.695000172;0.564305365;0.946018219;0.132892117;0.430388749;0.051306631;0.236298457;2017;Sub-Saharan Africa
422;Iran;108;4.691999912;1.156873107;0.711551249;0.639333189;0.249322608;0.048761073;0.387242913;2017;Middle East and North Africa
423;Albania;109;4.644000053;0.996192753;0.803685248;0.731159747;0.381498635;0.039864216;0.201312944;2017;Central and Eastern Europe
424;Bangladesh;110;4.607999802;0.586682975;0.735131741;0.533241034;0.478356659;0.123717859;0.172255352;2017;South Asia
425;Namibia;111;4.573999882;0.964434326;1.098470807;0.338611811;0.520303547;0.093146972;0.077133745;2017;Sub-Saharan Africa
426;Kenya;112;4.552999973;0.560479462;1.067950726;0.30998835;0.452763766;0.064641319;0.444860309;2017;Sub-Saharan Africa
427;Mozambique;113;4.550000191;0.23430565;0.870701015;0.106654435;0.480791092;0.179436386;0.322228104;2017;Sub-Saharan Africa
428;Myanmar;114;4.545000076;0.36711055;1.123235941;0.397522569;0.514492035;0.188816205;0.838075161;2017;Southeast Asia
429;Senegal;115;4.534999847;0.479309022;1.179691911;0.409362853;0.377922267;0.115460448;0.183468893;2017;Sub-Saharan Africa
430;Zambia;116;4.513999939;0.636406779;1.003187299;0.257835895;0.461603492;0.07821355;0.249580145;2017;Sub-Saharan Africa
431;Iraq;117;4.497000217;1.102710485;0.978613198;0.50118047;0.288555533;0.107215755;0.199637264;2017;Middle East and North Africa
432;Gabon;118;4.465000153;1.198210239;1.155620217;0.356578588;0.312328577;0.076046787;0.043785378;2017;Sub-Saharan Africa
433;Ethiopia;119;4.460000038;0.339233845;0.864669204;0.353409708;0.408842742;0.165455714;0.31265074;2017;Sub-Saharan Africa
434;Sri Lanka;120;4.440000057;1.009850144;1.259976387;0.625130832;0.561213255;0.073653966;0.490863562;2017;South Asia
435;Armenia;121;4.375999928;0.900596738;1.007483721;0.637524426;0.198303267;0.026674422;0.083488092;2017;Commonwealth of Independent States
436;India;122;4.315000057;0.792221248;0.754372597;0.455427617;0.469987005;0.092226885;0.231538489;2017;South Asia
437;Mauritania;123;4.291999817;0.648457289;1.27203083;0.28534928;0.096098043;0.136957005;0.201870024;2017;Sub-Saharan Africa
438;Congo (Brazzaville);124;4.290999889;0.808964252;0.832044363;0.289957434;0.435025871;0.079618134;0.120852128;2017;Sub-Saharan Africa
439;Georgia;125;4.285999775;0.950612664;0.570614934;0.649546981;0.309410036;0.251666635;0.054008815;2017;Commonwealth of Independent States
440;Congo (Kinshasa);126;4.28000021;0.092102349;1.229023457;0.191407025;0.235961348;0.060241356;0.246455833;2017;Sub-Saharan Africa
441;Mali;127;4.190000057;0.476180494;1.281473398;0.169365674;0.306613743;0.104970247;0.183354199;2017;Sub-Saharan Africa
442;Ivory Coast;128;4.179999828;0.603048921;0.90478003;0.04864217;0.447706193;0.130061775;0.20123747;2017;Sub-Saharan Africa
443;Cambodia;129;4.168000221;0.601765096;1.006238341;0.429783404;0.633375823;0.068105951;0.385922968;2017;Southeast Asia
445;Ghana;131;4.119999886;0.667224824;0.873664737;0.295637727;0.423026294;0.02533637;0.256923944;2017;Sub-Saharan Africa
446;Ukraine;132;4.096000195;0.894651949;1.394537568;0.575903952;0.122974776;0.023029471;0.270061463;2017;Commonwealth of Independent States
447;Uganda;133;4.080999851;0.381430715;1.129827738;0.217632607;0.443185955;0.057069719;0.325766057;2017;Sub-Saharan Africa
448;Burkina Faso;134;4.032000065;0.350227714;1.043280005;0.215844259;0.324367851;0.120328106;0.250864685;2017;Sub-Saharan Africa
449;Niger;135;4.027999878;0.161925331;0.993025005;0.268505007;0.363658696;0.138572946;0.228673846;2017;Sub-Saharan Africa
450;Malawi;136;3.970000029;0.233442038;0.512568831;0.315089583;0.466914654;0.072711654;0.28717047;2017;Sub-Saharan Africa
451;Chad;137;3.936000109;0.438012987;0.953855872;0.041134715;0.162342027;0.053581882;0.21611385;2017;Sub-Saharan Africa
452;Zimbabwe;138;3.875;0.375846535;1.083095908;0.196763754;0.336384207;0.095375381;0.189143494;2017;Sub-Saharan Africa
453;Lesotho;139;3.808000088;0.521021247;1.190095186;0;0.390661299;0.11909464;0.157497272;2017;Sub-Saharan Africa
455;Afghanistan;141;3.79399991;0.401477218;0.581543326;0.180746779;0.10617952;0.06115783;0.311870933;2017;South Asia
456;Botswana;142;3.766000032;1.122094154;1.221554995;0.341755509;0.505196333;0.098583199;0.099348448;2017;Sub-Saharan Africa
457;Benin;143;3.657000065;0.431085408;0.435299844;0.209930211;0.425962776;0.060929015;0.207948461;2017;Sub-Saharan Africa
458;Madagascar;144;3.644000053;0.305808693;0.913020372;0.375223309;0.189196765;0.067231975;0.20873253;2017;Sub-Saharan Africa
459;Haiti;145;3.602999926;0.368610263;0.640449822;0.27732113;0.030369857;0.09987215;0.489203781;2017;Latin America and Caribbean
460;Yemen;146;3.592999935;0.591683447;0.935382247;0.310080916;0.249463722;0.056767423;0.104125209;2017;Middle East and North Africa
461;South Sudan;147;3.59100008;0.397248626;0.601323128;0.163486004;0.147062436;0.116793513;0.285670817;2017;Sub-Saharan Africa
462;Liberia;148;3.532999992;0.119041793;0.872117937;0.229918197;0.332881182;0.038948249;0.266549885;2017;Sub-Saharan Africa
463;Guinea;149;3.506999969;0.24454993;0.791244686;0.194129139;0.348587513;0.110937618;0.264815092;2017;Sub-Saharan Africa
464;Togo;150;3.494999886;0.305444717;0.43188253;0.247105569;0.380426139;0.095665015;0.196896151;2017;Sub-Saharan Africa
465;Rwanda;151;3.470999956;0.368745893;0.945707023;0.326424807;0.581843853;0.455220014;0.252756029;2017;Sub-Saharan Africa
467;Tanzania;153;3.348999977;0.511135876;1.041989803;0.364509284;0.390017778;0.066035107;0.354256362;2017;Sub-Saharan Africa
468;Burundi;154;2.904999971;0.091622569;0.629793584;0.151610792;0.059900753;0.084147945;0.204435185;2017;Sub-Saharan Africa
469;Central African Republic;155;2.693000078;0;0;0.018772686;0.270842046;0.056565076;0.280876487;2017;Sub-Saharan Africa
470;Finland;1;7.632;1.305;1.592;0.874;0.681;0.393;0.202;2018;Western Europe
471;Norway;2;7.594;1.456;1.582;0.861;0.686;0.34;0.286;2018;Western Europe
472;Denmark;3;7.555;1.351;1.59;0.868;0.683;0.408;0.284;2018;Western Europe
473;Iceland;4;7.495;1.343;1.644;0.914;0.677;0.138;0.353;2018;Western Europe
474;Switzerland;5;7.487;1.42;1.549;0.927;0.66;0.357;0.256;2018;Western Europe
475;Netherlands;6;7.441;1.361;1.488;0.878;0.638;0.295;0.333;2018;Western Europe
476;Canada;7;7.328;1.33;1.532;0.896;0.653;0.291;0.321;2018;North America and ANZ
477;New Zealand;8;7.324;1.268;1.601;0.876;0.669;0.389;0.365;2018;North America and ANZ
478;Sweden;9;7.314;1.355;1.501;0.913;0.659;0.383;0.285;2018;Western Europe
479;Australia;10;7.272;1.34;1.573;0.91;0.647;0.302;0.361;2018;North America and ANZ
480;United Kingdom;11;7.19;1.244;1.433;0.888;0.464;0.082;0.262;2018;Western Europe
481;Austria;12;7.139;1.341;1.504;0.891;0.617;0.224;0.242;2018;Western Europe
482;Costa Rica;13;7.072;1.01;1.459;0.817;0.632;0.101;0.143;2018;Latin America and Caribbean
483;Ireland;14;6.977;1.448;1.583;0.876;0.614;0.306;0.307;2018;Western Europe
484;Germany;15;6.965;1.34;1.474;0.861;0.586;0.28;0.273;2018;Western Europe
485;Belgium;16;6.927;1.324;1.483;0.894;0.583;0.24;0.188;2018;Western Europe
486;Luxembourg;17;6.91;1.576;1.52;0.896;0.632;0.321;0.196;2018;Western Europe
487;United States;18;6.886;1.398;1.471;0.819;0.547;0.133;0.291;2018;North America and ANZ
488;Israel;19;6.814;1.301;1.559;0.883;0.533;0.272;0.354;2018;Middle East and North Africa
490;Czech Republic;21;6.711;1.233;1.489;0.854;0.543;0.034;0.064;2018;Central and Eastern Europe
491;Malta;22;6.627;1.27;1.525;0.884;0.645;0.142;0.376;2018;Western Europe
492;France;23;6.489;1.293;1.466;0.908;0.52;0.176;0.098;2018;Western Europe
493;Mexico;24;6.488;1.038;1.252;0.761;0.479;0.095;0.069;2018;Latin America and Caribbean
494;Chile;25;6.476;1.131;1.331;0.808;0.431;0.061;0.197;2018;Latin America and Caribbean
496;Panama;27;6.43;1.112;1.438;0.759;0.597;0.063;0.125;2018;Latin America and Caribbean
497;Brazil;28;6.419;0.986;1.474;0.675;0.493;0.088;0.11;2018;Latin America and Caribbean
498;Argentina;29;6.388;1.073;1.468;0.744;0.57;0.054;0.062;2018;Latin America and Caribbean
499;Guatemala;30;6.382;0.781;1.268;0.608;0.604;0.071;0.179;2018;Latin America and Caribbean
500;Uruguay;31;6.379;1.093;1.459;0.771;0.625;0.155;0.13;2018;Latin America and Caribbean
502;Saudi Arabia;33;6.371;1.379;1.331;0.633;0.509;0.127;0.098;2018;Middle East and North Africa
503;Singapore;34;6.343;1.529;1.451;1.008;0.631;0.457;0.261;2018;Southeast Asia
504;Malaysia;35;6.322;1.161;1.258;0.669;0.356;0.059;0.311;2018;Southeast Asia
505;Spain;36;6.31;1.251;1.538;0.965;0.449;0.074;0.142;2018;Western Europe
506;Colombia;37;6.26;0.96;1.439;0.635;0.531;0.039;0.099;2018;Latin America and Caribbean
508;Slovakia;39;6.173;1.21;1.537;0.776;0.354;0.014;0.118;2018;Central and Eastern Europe
509;El Salvador;40;6.167;0.806;1.231;0.639;0.461;0.082;0.065;2018;Latin America and Caribbean
510;Nicaragua;41;6.141;0.668;1.319;0.7;0.527;0.128;0.208;2018;Latin America and Caribbean
511;Poland;42;6.123;1.176;1.448;0.781;0.546;0.064;0.108;2018;Central and Eastern Europe
512;Bahrain;43;6.105;1.338;1.366;0.698;0.594;0.123;0.243;2018;Middle East and North Africa
513;Uzbekistan;44;6.096;0.719;1.584;0.605;0.724;0.259;0.328;2018;Commonwealth of Independent States
